,county,state,min_confirmed_count,min_death_count,min_recovered_count,max_confirmed_count,max_death_count,max_recovered_count,median_confirmed_count,median_death_count,median_recovered_count,mean_confirmed_count,mean_death_count,mean_recovered_count,sum_confirmed_count,sum_death_count,sum_recovered_count,total_population,number_of_men,number_of_women,race_hispanic,race_white,race_black,race_native,race_asian,pacific,voting_age_citizens,census_income_average,census_income_margin,census_income_per_capita,census_income_per_capita_margin,census_poverty,census_child_poverty,professional_job_percentage,service_job_percentage,office_job_percentage,construction_job_percentage,production_job_percentage,commute_drive_percentage,commute_carpool_percentage,commute_transit_percentage,commute_walk_percentage,commute_other_percentage,commute_noneed_percentage,number_of_employed_people,employment_private_percentage,employment_public_percentage,employment_self_percentage,employment_family_percentage,unemployment_percentage,icu_beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,diversity_index,diversity_black_race,diversity_native_race,diversity_asian_race,diversity_pacific_race,diversity_two_or_more_races,diversity_hispanic_race,diversity_white_race,democrat,republican,other,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,mortality_rate,min_mortality_rate,max_mortality_rate,change_in_mortality_rate,min_change_in_mortality_rate,max_change_in_mortality_rate
381,Butler,IA,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.4444444444444444,0.0,0.0,13.0,0.0,0.0,14822.0,7402.0,7420.0,1.3,96.8,0.2,0.3,0.4,0.1,11356.0,53937.0,1971.0,28584.0,1364.0,9.4,14.1,29.9,14.1,23.9,11.3,20.8,81.3,9.4,0.2,3.0,0.9,5.2,7431.0,77.2,11.2,11.3,0.3,3.2,0.0,14822.0,4297.0,29.0,0.0,0.053052999999999996,0.4,0.1,0.4,0.0,0.8,1.1,97.3,2157.0,4921.0,435.0,1502536078.0,4209735.0,580.132,1.625,37.20809523809524,33.84095238095238,40.79571428571428,2.958095238095237,-22.830000000000002,45.61999999999999
382,Butler,KS,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0588235294117647,0.0,0.7647058823529411,18.0,0.0,13.0,66260.0,33449.0,32811.0,4.6,89.5,2.1,0.8,1.1,0.0,48321.0,62324.0,2317.0,28478.0,929.0,10.8,15.8,40.0,15.2,21.4,11.6,11.8,84.8,7.9,0.1,1.6,1.3,4.2,31363.0,77.9,16.0,6.0,0.1,4.5,16.0,66260.0,13403.0,20.2,838.0,0.18523599999999998,1.9,1.0,0.9,0.1,2.2,4.4,90.1,6573.0,19073.0,2011.0,3703338016.0,43150085.0,1429.8670000000002,16.66,42.19285714285715,39.03476190476189,45.551428571428566,43.048095238095236,8.684285714285712,87.37047619047618
383,Butler,KY,1.0,0.0,0.0,25.0,2.0,0.0,5.0,0.0,0.0,7.233333333333333,0.2,0.0,217.0,6.0,0.0,12735.0,6405.0,6330.0,3.1,95.1,0.4,0.2,0.1,0.0,9714.0,39362.0,2505.0,21787.0,1679.0,22.0,36.2,26.8,11.3,21.0,12.7,28.2,82.5,10.2,0.3,0.6,2.0,4.4,5177.0,75.6,15.4,8.1,0.9,5.4,0.0,12735.0,3036.0,23.8,0.0,0.10005599999999999,0.6,0.5,0.3,0.0,0.9,3.3,94.8,947.0,4428.0,201.0,1103562551.0,13947933.0,426.088,5.385,48.19238095238095,43.35,53.25285714285714,22.567619047619043,-9.661428571428573,72.21095238095238
384,Butler,MO,-1.0,0.0,0.0,4.0,0.0,12.0,1.0,0.0,0.0,1.5555555555555556,0.0,0.6666666666666666,28.0,0.0,12.0,42826.0,20735.0,22091.0,2.0,89.0,5.4,0.5,0.7,0.0,32460.0,37878.0,2668.0,20855.0,1222.0,21.6,30.0,29.2,18.0,24.8,8.4,19.6,80.8,10.5,0.7,2.6,2.1,3.3,16983.0,77.6,15.9,6.3,0.2,9.2,14.0,42826.0,10394.0,24.3,742.0,0.19684400000000002,5.5,0.7,0.9,0.0,2.1,1.8,89.4,3036.0,13650.0,573.0,1799185021.0,11195137.0,694.669,4.322,51.72190476190475,47.64142857142857,55.96857142857144,44.75809523809523,10.095714285714289,97.65619047619049
385,Butler,NE,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.8125,0.0,0.0,29.0,0.0,0.0,8105.0,4085.0,4020.0,3.0,95.0,0.5,0.2,0.4,0.0,6085.0,52448.0,3123.0,27216.0,1174.0,7.8,8.5,27.8,17.0,18.2,14.0,23.0,81.0,7.3,0.2,2.6,1.2,7.6,4121.0,76.0,12.6,11.2,0.1,4.4,0.0,8105.0,2184.0,26.9,0.0,0.08704400000000001,0.4,0.3,0.4,0.0,0.7,2.9,95.5,691.0,3079.0,211.0,1514884892.0,15309110.0,584.9,5.9110000000000005,37.672380952380955,33.74809523809523,41.85666666666667,1.4119047619047616,-24.793333333333326,39.760000000000005
386,Butler,OH,1.0,0.0,0.0,33.0,2.0,0.0,7.0,0.0,0.0,9.633333333333333,0.26666666666666666,0.0,578.0,16.0,0.0,375702.0,184149.0,191553.0,4.5,82.2,7.8,0.1,2.9,0.1,275267.0,62188.0,1209.0,29745.0,441.0,12.9,17.0,38.5,16.5,24.4,6.9,13.8,84.7,7.6,0.6,2.0,0.9,4.2,180865.0,85.1,10.6,4.2,0.1,5.4,74.0,375702.0,73222.0,19.5,989.0,0.298347,8.0,0.3,2.7,0.1,2.1,4.3,83.2,58642.0,106976.0,8221.0,1209528851.0,7833380.0,467.00199999999995,3.0239999999999996,42.16904761904761,39.662857142857135,44.760000000000005,47.43380952380951,17.07952380952381,93.50238095238097
387,Butler,PA,0.0,0.0,0.0,16.0,1.0,0.0,4.0,0.0,0.0,4.488888888888889,0.13333333333333333,0.0,202.0,6.0,0.0,185984.0,91847.0,94137.0,1.4,95.0,0.9,0.1,1.1,0.0,145821.0,66037.0,1398.0,35101.0,562.0,8.4,9.6,38.8,16.1,23.7,9.1,12.3,84.6,7.2,0.7,2.4,0.7,4.4,93194.0,85.2,9.6,5.0,0.2,4.5,35.0,185984.0,44846.0,24.1,1281.0,0.089349,1.2,0.1,1.1,0.0,1.0,1.3,95.4,28584.0,64428.0,4059.0,2042451310.0,15948098.0,788.595,6.1579999999999995,38.54666666666666,36.15,41.10190476190477,33.931428571428576,5.462380952380947,72.47095238095237
388,Butte,CA,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.2941176470588236,0.0,0.0,22.0,0.0,0.0,225207.0,111587.0,113620.0,15.7,72.9,1.5,0.7,4.4,0.2,172105.0,46516.0,1130.0,26304.0,656.0,20.5,21.5,35.9,22.2,22.7,9.2,10.1,75.0,11.1,1.2,3.2,3.9,5.7,93439.0,72.8,17.2,9.7,0.4,9.1,43.0,225207.0,53616.0,23.8,1247.0,0.423592,1.8,2.4,4.4,0.3,4.1,15.1,74.1,41567.0,45144.0,8853.0,4238423343.0,105325812.0,1636.464,40.667,39.80095238095238,37.236190476190465,42.389047619047616,16.116190476190475,-9.561428571428571,57.79714285714286
389,Butte,ID,,,,,,,,,,,,,,,,2613.0,1350.0,1263.0,2.5,94.6,2.5,0.0,0.0,0.0,2070.0,43207.0,7907.0,26227.0,3968.0,16.2,18.6,32.5,16.1,18.3,16.3,16.8,80.9,7.6,1.7,3.2,2.2,4.4,975.0,66.4,26.5,7.2,0.0,6.7,0.0,2613.0,807.0,30.9,0.0,0.16484000000000001,0.4,0.7,0.3,0.2,2.3,5.3,91.2,160.0,914.0,156.0,5792016720.0,5258025.0,2236.31,2.03,37.77619047619048,32.654761904761905,43.41714285714285,-0.06333333333333394,-28.909523809523805,52.081428571428575
390,Butte,SD,,,,,,,,,,,,,,,,10194.0,5078.0,5116.0,3.5,91.8,0.6,1.8,0.0,0.0,7682.0,44786.0,4912.0,26178.0,3262.0,11.1,6.7,28.5,20.2,19.4,16.9,14.9,74.3,14.8,0.0,2.5,0.1,8.3,5096.0,69.3,15.6,14.5,0.6,2.8,0.0,10194.0,2751.0,27.0,0.0,0.15862,0.8,2.0,0.3,0.1,2.5,3.5,91.6,696.0,3357.0,298.0,5827518048.0,42730886.0,2250.0170000000003,16.498,40.61571428571428,36.32761904761904,45.32333333333332,3.484761904761904,-25.714285714285715,45.89000000000001
391,Butts,GA,0.0,0.0,0.0,44.0,7.0,0.0,2.0,0.0,0.0,4.5813953488372094,0.3953488372093023,0.0,197.0,17.0,0.0,23556.0,12464.0,11092.0,3.1,66.6,28.2,0.1,0.6,0.0,18209.0,39655.0,2735.0,21236.0,2495.0,23.5,31.6,27.3,16.3,25.3,14.4,16.7,85.7,9.0,0.0,0.2,0.6,4.6,8655.0,79.3,15.0,4.5,1.2,7.6,0.0,23556.0,4813.0,20.4,0.0,0.464117,27.9,0.3,0.6,0.0,1.1,3.0,67.6,2566.0,6717.0,231.0,475937515.0,11086906.0,183.761,4.281000000000001,53.21380952380952,48.40095238095238,58.39142857142857,14.598095238095235,-12.878095238095238,72.81761904761905
392,Cabarrus,NC,0.0,0.0,0.0,63.0,3.0,152.0,5.0,0.0,0.0,7.294117647058823,0.39215686274509803,4.254901960784314,372.0,20.0,217.0,196716.0,95708.0,101008.0,10.0,68.0,16.7,0.3,3.0,0.1,136198.0,60716.0,1429.0,29143.0,508.0,11.5,15.9,37.4,16.9,24.6,9.7,11.3,83.3,9.9,0.7,0.7,0.8,4.7,95894.0,81.6,13.8,4.5,0.2,6.8,25.0,196716.0,35521.0,18.1,1421.0,0.472135,16.5,0.7,2.5,0.1,1.9,9.8,70.0,35521.0,53819.0,3949.0,935603281.0,7006691.0,361.23800000000006,2.705,41.39,38.58285714285715,44.30238095238095,0.8514285714285724,-19.159047619047616,29.718095238095234
393,Cabell,WV,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.24,0.0,0.0,56.0,0.0,0.0,96100.0,47121.0,48979.0,1.4,90.1,4.9,0.1,1.3,0.0,76234.0,37816.0,1731.0,24646.0,976.0,23.2,29.8,36.5,20.7,26.9,6.1,9.8,82.6,7.4,1.3,3.8,2.0,2.9,39455.0,80.5,15.8,3.7,0.1,5.5,88.0,96100.0,22787.0,23.7,259.0,0.181255,5.1,0.2,1.1,0.0,2.1,1.3,90.3,11447.0,19850.0,1788.0,727838071.0,18122000.0,281.02,6.997000000000001,51.090476190476195,47.482857142857135,54.81904761904761,69.18999999999998,30.62142857142858,144.73476190476188
394,Cabo Rojo Mu,PR,,,,,,,,,,,,,,,,49726.0,23597.0,26129.0,99.8,0.2,0.0,0.0,0.0,0.0,39530.0,16461.0,1092.0,9523.0,726.0,52.5,62.4,34.8,17.6,32.5,7.2,7.9,91.4,1.4,0.1,1.1,0.1,5.9,12523.0,68.5,24.8,6.7,0.0,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Cabo Rojo Municipio,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182261682.0,277228652.0,70.372,107.039,,,,,,
396,Cache,UT,,,,,,,,,,,,,,,,120288.0,60247.0,60041.0,10.5,83.8,0.7,0.4,2.1,0.4,78436.0,53812.0,1423.0,21752.0,581.0,15.2,14.2,37.9,15.6,22.8,7.8,16.0,74.5,11.5,2.1,4.0,2.7,5.2,56905.0,77.5,18.0,4.4,0.2,3.6,14.0,120288.0,15104.0,12.6,1079.0,0.269504,0.8,0.9,2.3,0.5,1.7,10.2,84.8,8563.0,21139.0,16455.0,3016675511.0,21093142.0,1164.745,8.144,31.080476190476183,28.410476190476192,33.803333333333335,10.161428571428573,-16.76904761904762,48.38619047619048
397,Caddo,LA,1.0,-1.0,0.0,221.0,17.0,0.0,22.0,1.0,0.0,29.125,2.421875,0.0,1864.0,155.0,0.0,251069.0,119235.0,131834.0,2.8,45.6,48.3,0.4,1.2,0.0,187462.0,40391.0,1046.0,25565.0,801.0,23.4,35.7,33.1,21.5,24.4,8.9,12.0,86.4,7.2,1.8,1.2,1.0,2.4,105583.0,81.2,14.1,4.6,0.1,7.0,107.0,251069.0,54633.0,21.8,511.0,0.550416,48.0,0.5,1.2,0.1,1.4,2.7,46.7,53483.0,49006.0,3315.0,,,,,48.58857142857143,45.698095238095235,51.56571428571429,51.02619047619047,19.294761904761906,89.1842857142857
398,Caddo,OK,0.0,0.0,0.0,25.0,1.0,16.0,1.0,0.0,1.0,3.027027027027027,0.2702702702702703,2.081081081081081,112.0,10.0,77.0,29437.0,15383.0,14054.0,12.1,57.4,2.2,22.4,0.4,0.1,20968.0,41626.0,1473.0,21071.0,1158.0,20.8,27.7,29.1,17.7,21.6,17.0,14.6,82.4,11.6,0.4,2.3,1.1,2.2,11207.0,66.6,25.1,8.1,0.2,7.6,0.0,29437.0,6475.0,22.0,0.0,0.577476,3.0,25.4,0.3,0.1,6.1,11.1,58.4,2420.0,6482.0,446.0,3310745124.0,30820525.0,1278.286,11.9,54.630952380952394,50.1504761904762,59.37238095238095,37.27333333333333,5.556190476190476,84.74571428571429
399,Caddo Parish,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275355490.0,150398853.0,878.52,58.068999999999996,,,,,,
400,Caguas Mu,PR,,,,,,,,,,,,,,,,134269.0,62604.0,71665.0,99.0,0.8,0.1,0.0,0.0,0.0,104937.0,24229.0,893.0,13904.0,461.0,37.7,49.2,35.7,19.2,28.6,7.8,8.7,81.4,11.4,1.4,2.7,1.4,1.7,46869.0,71.7,19.1,9.2,0.1,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Caguas Municipio,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151782480.0,1201688.0,58.604,0.46399999999999997,,,,,,
402,Calaveras,CA,0.0,0.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,1.1818181818181819,0.0,1.1818181818181819,13.0,0.0,13.0,45057.0,22292.0,22765.0,11.5,82.0,0.6,0.9,1.2,0.5,35783.0,54800.0,3529.0,31652.0,1278.0,12.8,18.9,35.6,18.4,22.9,11.6,11.5,79.1,9.9,1.0,1.2,0.6,8.3,16721.0,67.6,18.2,13.7,0.4,7.1,0.0,45057.0,15872.0,35.2,0.0,0.305176,1.0,1.8,1.5,0.2,3.5,11.1,82.5,7944.0,13511.0,1681.0,2641820834.0,43806026.0,1020.013,16.914,34.22095238095238,31.59142857142857,36.96190476190476,-10.812380952380954,-32.08952380952381,19.23761904761905
403,Calcasieu,LA,0.0,0.0,0.0,48.0,4.0,0.0,7.0,0.0,0.0,9.017543859649123,0.7017543859649122,0.0,514.0,40.0,0.0,198753.0,96906.0,101847.0,3.2,68.2,24.6,0.3,1.4,0.0,146328.0,48219.0,1329.0,26569.0,535.0,16.8,24.3,30.6,21.1,22.5,12.6,13.2,86.1,8.2,0.3,1.5,1.8,2.1,90318.0,80.9,14.0,5.0,0.1,6.6,75.0,198753.0,39284.0,19.8,524.0,0.46046400000000004,25.2,0.6,1.2,0.1,1.7,2.9,68.9,26296.0,54191.0,3298.0,,,,,49.55904761904762,46.59523809523809,52.56285714285715,18.106190476190466,-7.4071428571428575,54.17428571428571
404,Calcasieu Parish,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756538200.0,77608623.0,1064.305,29.965,,,,,,
405,Caldwell,KY,-1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,12.0,0.0,0.0,12747.0,5973.0,6774.0,1.3,91.1,6.8,0.0,0.0,0.0,9895.0,46182.0,8251.0,25272.0,2831.0,17.5,22.4,29.2,13.2,21.2,11.7,24.7,81.1,9.3,0.5,2.4,5.6,1.2,5330.0,75.6,15.2,8.3,0.8,6.9,0.0,12747.0,3148.0,24.7,0.0,0.16128299999999998,5.4,0.2,0.3,0.0,1.4,1.4,91.4,1260.0,4507.0,208.0,893006769.0,8700648.0,344.792,3.359,49.56238095238094,44.96238095238095,54.64,32.16904761904761,-1.4342857142857137,86.36809523809526
406,Caldwell,LA,1.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,2.9411764705882355,0.0,0.0,50.0,0.0,0.0,10000.0,5313.0,4687.0,3.1,79.1,16.8,0.6,0.2,0.0,7594.0,31933.0,3546.0,20961.0,2724.0,26.2,34.3,23.8,25.4,24.3,14.8,11.7,84.4,7.2,0.0,4.4,2.3,1.7,3451.0,69.9,25.4,4.6,0.0,9.4,0.0,10000.0,2320.0,23.2,0.0,0.347391,17.1,0.3,0.3,0.0,1.0,2.7,78.9,788.0,3822.0,82.0,,,,,57.58190476190477,51.667142857142856,63.97571428571429,54.89809523809523,15.325238095238097,112.86238095238093
407,Caldwell,MO,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,9046.0,4572.0,4474.0,2.1,94.8,0.5,0.4,0.4,0.0,6801.0,44975.0,2493.0,24200.0,1468.0,13.3,17.4,28.2,17.6,22.3,16.1,15.8,82.9,9.3,0.1,3.4,0.7,3.7,3840.0,72.4,19.0,8.5,0.1,3.8,0.0,9046.0,2392.0,26.4,0.0,0.094845,0.6,0.5,0.2,0.0,1.7,2.0,95.1,838.0,3232.0,242.0,1104350547.0,8402198.0,426.392,3.2439999999999998,42.97428571428571,38.53523809523809,47.74857142857143,22.15380952380952,-10.693809523809524,74.90142857142857
408,Caldwell,NC,0.0,0.0,0.0,7.0,1.0,14.0,2.0,0.0,0.0,2.888888888888889,0.07407407407407407,0.5185185185185185,78.0,2.0,14.0,81805.0,40361.0,41444.0,5.1,87.9,4.9,0.4,0.6,0.0,63220.0,40735.0,1356.0,21991.0,977.0,16.4,20.8,24.5,17.0,22.7,11.6,24.2,83.4,10.3,0.1,0.7,1.9,3.7,35011.0,80.8,13.2,6.0,0.0,7.9,12.0,81805.0,20816.0,25.4,1735.0,0.216792,5.1,0.6,0.7,0.1,1.4,4.9,88.2,8425.0,26621.0,1274.0,1222192510.0,7038401.0,471.89099999999996,2.718,47.28809523809523,43.739047619047625,50.94809523809524,21.163809523809523,-4.448095238095239,56.68142857142857
409,Caldwell,TX,1.0,0.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,1.5,0.0,0.2916666666666667,36.0,0.0,7.0,40544.0,20563.0,19981.0,50.7,41.1,6.1,0.2,1.0,0.1,28283.0,51346.0,2389.0,23366.0,1304.0,17.7,22.9,25.3,20.2,23.5,17.4,13.7,79.0,11.6,0.2,3.6,1.7,4.0,18238.0,74.3,18.9,6.7,0.1,3.4,0.0,40544.0,7589.0,18.7,0.0,0.5737800000000001,7.1,1.5,1.0,0.1,1.6,48.9,42.6,4795.0,6691.0,606.0,1412134810.0,4975940.0,545.2280000000001,1.921,40.559047619047625,37.117142857142845,44.242380952380955,-3.8171428571428576,-25.960952380952378,28.440000000000005
410,Caldwell Parish,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371203830.0,29277303.0,529.425,11.304,,,,,,
411,Caledonia,VT,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.1666666666666667,0.0,0.0,14.0,0.0,0.0,30576.0,15366.0,15210.0,1.5,95.1,0.9,0.2,0.6,0.0,24155.0,47371.0,1846.0,25896.0,989.0,12.3,16.4,34.8,20.4,20.0,12.6,12.3,76.4,10.7,0.1,3.8,1.2,7.8,14475.0,74.2,13.8,10.9,1.1,4.9,4.0,30576.0,8308.0,27.2,2077.0,0.08938099999999999,0.7,0.5,0.8,0.0,1.4,1.3,95.4,6445.0,5534.0,2096.0,1680951765.0,22386314.0,649.019,8.642999999999999,36.34333333333333,33.125238095238096,39.76714285714286,-13.795714285714288,-34.68952380952381,20.674285714285713
412,Calhoun,AL,0.0,0.0,0.0,14.0,1.0,0.0,2.0,0.0,0.0,3.0952380952380953,0.07142857142857142,0.0,130.0,3.0,0.0,115527.0,55593.0,59934.0,3.6,72.7,20.4,0.2,1.0,0.0,88383.0,43686.0,1491.0,23638.0,793.0,18.6,26.6,29.0,17.5,23.7,10.4,19.4,85.0,9.2,0.2,1.3,1.1,3.2,47392.0,74.9,19.9,5.1,0.1,10.1,24.0,115527.0,27115.0,23.5,1130.0,0.420387,20.9,0.5,0.8,0.1,1.6,3.5,73.1,13242.0,32865.0,1757.0,1569245419.0,16568579.0,605.889,6.397,53.722380952380945,50.19476190476191,57.517142857142844,21.213333333333335,-4.6833333333333345,70.61952380952383
413,Calhoun,AR,,,,,,,,,,,,,,,,5194.0,2693.0,2501.0,3.9,72.6,21.9,0.1,0.2,0.2,4179.0,37225.0,5419.0,22866.0,1842.0,19.6,34.3,24.5,13.8,15.8,16.3,29.6,87.4,5.4,0.5,1.8,1.7,3.2,2215.0,73.5,23.7,2.8,0.0,5.7,0.0,5194.0,1436.0,27.6,0.0,0.41925200000000007,21.5,0.5,0.2,0.0,1.5,3.7,73.0,639.0,1556.0,74.0,1627973984.0,9926147.0,628.564,3.833,44.88095238095237,39.895714285714284,50.59714285714286,12.139047619047615,-20.474285714285713,62.24619047619048
414,Calhoun,FL,1.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,2.533333333333333,0.06666666666666667,0.0,38.0,1.0,0.0,14458.0,7872.0,6586.0,5.8,76.9,12.8,0.9,0.8,0.0,11034.0,36237.0,2312.0,15927.0,1194.0,12.9,10.0,23.9,29.4,19.1,18.2,9.4,78.7,15.5,0.0,0.9,3.2,1.7,4698.0,71.4,23.1,5.5,0.0,8.6,0.0,14458.0,3483.0,24.1,0.0,0.379056,13.4,1.3,0.7,0.2,2.1,5.7,77.4,1241.0,4655.0,185.0,1469389206.0,18074798.0,567.3340000000001,6.979,45.54571428571429,40.91857142857143,50.473333333333336,8.809523809523807,-18.775714285714287,55.78809523809524
415,Calhoun,GA,-2.0,0.0,0.0,14.0,2.0,0.0,2.5,0.0,0.0,3.236842105263158,0.18421052631578946,0.0,123.0,7.0,0.0,6503.0,3915.0,2588.0,4.8,32.5,60.5,0.0,0.5,0.0,5141.0,29617.0,2794.0,13865.0,2459.0,32.2,41.7,30.3,21.4,17.5,15.0,15.8,79.2,9.8,0.6,2.5,0.2,7.6,1612.0,71.5,23.9,3.9,0.7,14.9,0.0,6503.0,1362.0,20.9,0.0,0.51002,61.4,0.5,0.5,0.3,1.0,4.4,33.3,1179.0,830.0,16.0,726147258.0,8315719.0,280.367,3.2110000000000003,52.56809523809523,46.698571428571434,59.391904761904755,9.950000000000001,-18.822857142857142,59.36571428571429
416,Calhoun,IA,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9814.0,5080.0,4734.0,1.8,94.8,1.8,0.3,0.3,0.0,7731.0,46302.0,3680.0,27370.0,1244.0,15.3,21.3,33.3,18.5,19.7,14.0,14.3,82.4,7.6,0.5,2.0,1.5,6.0,4370.0,69.9,16.7,13.2,0.1,2.3,2.0,9814.0,3002.0,30.6,1501.0,0.098625,1.8,0.4,0.3,0.0,0.8,1.9,94.9,1398.0,3468.0,293.0,1475894623.0,5873828.0,569.846,2.2680000000000002,36.9047619047619,33.22190476190476,40.832380952380944,2.1200000000000006,-23.545714285714286,43.1795238095238
417,Calhoun,IL,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,4897.0,2453.0,2444.0,1.1,96.7,0.3,0.1,0.9,0.0,3855.0,53641.0,3602.0,25660.0,1532.0,12.8,15.1,31.2,21.5,16.9,17.0,13.4,82.1,8.2,1.2,2.2,0.7,5.6,2166.0,76.2,14.0,9.1,0.6,3.7,0.0,4897.0,1471.0,30.0,0.0,0.043378,0.3,0.2,0.3,0.0,0.4,1.0,97.8,739.0,1721.0,111.0,657402916.0,77057164.0,253.825,29.752,38.85619047619048,34.38523809523809,43.66047619047619,12.809523809523805,-17.848571428571432,59.50761904761904
418,Calhoun,MI,1.0,0.0,0.0,15.0,4.0,0.0,5.0,0.0,0.0,5.363636363636363,0.32727272727272727,0.0,295.0,18.0,0.0,134327.0,65652.0,68675.0,5.0,78.3,10.6,0.6,2.1,0.0,100589.0,46213.0,1008.0,24859.0,511.0,17.4,26.3,29.0,19.6,21.4,7.5,22.5,82.2,9.7,0.7,3.1,1.0,3.2,58179.0,82.5,12.4,4.9,0.1,7.4,32.0,134327.0,31227.0,23.2,976.0,0.355249,11.1,0.7,1.9,0.1,3.1,4.7,79.3,24157.0,31494.0,3251.0,1829249870.0,31275675.0,706.2769999999999,12.075999999999999,43.82,40.90619047619048,46.77904761904762,24.754285714285704,-1.8571428571428579,62.81380952380953
419,Calhoun,MS,1.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,2.230769230769231,0.15384615384615385,0.0,58.0,4.0,0.0,14617.0,6994.0,7623.0,5.7,65.0,27.2,0.0,0.2,0.3,10814.0,33370.0,2074.0,17837.0,886.0,26.9,42.0,21.4,13.8,17.7,13.8,33.3,86.5,9.0,0.5,0.9,1.3,1.8,5260.0,82.3,10.6,7.0,0.1,8.4,0.0,14617.0,3727.0,25.5,0.0,0.491255,28.1,0.2,0.1,0.0,1.1,5.7,65.3,1910.0,4390.0,96.0,1519218202.0,3590395.0,586.573,1.386,48.78952380952381,44.22095238095238,53.645238095238106,27.510952380952382,-4.750952380952382,83.09238095238095
420,Calhoun,SC,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.0,9.0,1.0,0.0,14808.0,7071.0,7737.0,3.6,53.6,41.6,0.5,0.0,0.0,11656.0,44010.0,4891.0,24766.0,1935.0,18.3,22.9,28.5,15.0,23.2,12.7,20.6,86.0,8.3,0.3,1.1,1.2,3.1,6362.0,74.6,18.7,6.7,0.0,6.5,0.0,14808.0,4258.0,28.8,0.0,0.536629,42.2,0.6,0.4,0.1,1.1,3.2,53.3,3573.0,3787.0,189.0,987179166.0,29350862.0,381.152,11.332,44.17095238095237,39.74285714285715,48.955238095238094,-12.86190476190476,-32.29714285714286,14.643333333333336
421,Calhoun,TX,0.0,0.0,0.0,4.0,1.0,19.0,1.0,0.0,0.0,1.2857142857142858,0.10714285714285714,0.8928571428571429,36.0,3.0,25.0,21821.0,10976.0,10845.0,48.1,43.2,2.6,0.1,4.9,0.1,14965.0,58788.0,3841.0,26909.0,1580.0,15.8,24.6,24.8,16.4,19.5,17.3,21.9,82.7,11.7,0.5,0.9,1.1,3.2,9676.0,83.8,10.5,5.7,0.0,6.3,6.0,21821.0,4869.0,22.3,812.0,0.575457,3.0,0.8,4.9,0.0,1.1,47.6,44.1,2118.0,4638.0,209.0,1312707024.0,1361884769.0,506.839,525.827,41.537142857142854,37.59666666666666,45.83809523809524,26.36047619047619,-5.63142857142857,72.05952380952381
422,Calhoun,WV,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7450.0,3689.0,3761.0,1.3,97.3,0.0,0.1,0.0,0.0,5962.0,36279.0,5907.0,19696.0,1919.0,17.1,22.5,31.6,12.8,20.9,21.2,13.6,83.2,12.1,0.4,2.2,1.2,1.0,2284.0,78.5,18.3,2.1,1.1,14.5,0.0,7450.0,2279.0,30.6,0.0,0.056892,0.3,0.3,0.2,0.1,1.0,1.2,97.1,456.0,2035.0,126.0,723252434.0,3704539.0,279.249,1.43,44.79380952380952,39.95,50.34761904761905,21.22476190476191,-9.853333333333333,66.7652380952381
