"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "May-13-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Utah,IHSP,2020,2020,31,18-49 yr,null,null
Utah,IHSP,2020,2020,32,18-49 yr,null,null
Utah,IHSP,2020,2020,33,18-49 yr,null,null
Utah,IHSP,2020,2020,34,18-49 yr,null,null
Utah,IHSP,2020,2020,35,18-49 yr,null,null
Utah,IHSP,2020,2020,36,18-49 yr,null,null
Utah,IHSP,2020,2020,37,18-49 yr,null,null
Utah,IHSP,2020,2020,38,18-49 yr,null,null
Utah,IHSP,2020,2020,39,18-49 yr,null,null
Utah,IHSP,2020,2020,10,50-64 yr,0,0
Utah,IHSP,2020,2020,11,50-64 yr,0,0
Utah,IHSP,2020,2020,12,50-64 yr,1.7,1.7
Utah,IHSP,2020,2020,13,50-64 yr,9.7,8
Utah,IHSP,2020,2020,14,50-64 yr,16.5,6.8
Utah,IHSP,2020,2020,15,50-64 yr,22.8,6.3
Utah,IHSP,2020,2020,16,50-64 yr,29.6,6.8
Utah,IHSP,2020,2020,17,50-64 yr,38.7,9.1
Utah,IHSP,2020,2020,18,50-64 yr,48.9,10.2
Utah,IHSP,2020,2020,19,50-64 yr,null,null
Utah,IHSP,2020,2020,20,50-64 yr,null,null
Utah,IHSP,2020,2020,21,50-64 yr,null,null
Utah,IHSP,2020,2020,22,50-64 yr,null,null
Utah,IHSP,2020,2020,23,50-64 yr,null,null
Utah,IHSP,2020,2020,24,50-64 yr,null,null
Utah,IHSP,2020,2020,25,50-64 yr,null,null
Utah,IHSP,2020,2020,26,50-64 yr,null,null
Utah,IHSP,2020,2020,27,50-64 yr,null,null
Utah,IHSP,2020,2020,28,50-64 yr,null,null
Utah,IHSP,2020,2020,29,50-64 yr,null,null
Utah,IHSP,2020,2020,30,50-64 yr,null,null
Utah,IHSP,2020,2020,31,50-64 yr,null,null
Utah,IHSP,2020,2020,32,50-64 yr,null,null
Utah,IHSP,2020,2020,33,50-64 yr,null,null
Utah,IHSP,2020,2020,34,50-64 yr,null,null
Utah,IHSP,2020,2020,35,50-64 yr,null,null
Utah,IHSP,2020,2020,36,50-64 yr,null,null
Utah,IHSP,2020,2020,37,50-64 yr,null,null
Utah,IHSP,2020,2020,38,50-64 yr,null,null
Utah,IHSP,2020,2020,39,50-64 yr,null,null
Utah,IHSP,2020,2020,10,65+ yr,0,0
Utah,IHSP,2020,2020,11,65+ yr,0,0
Utah,IHSP,2020,2020,12,65+ yr,4.8,4.8
Utah,IHSP,2020,2020,13,65+ yr,9.6,4.8
Utah,IHSP,2020,2020,14,65+ yr,16.8,7.2
Utah,IHSP,2020,2020,15,65+ yr,23.2,6.4
Utah,IHSP,2020,2020,16,65+ yr,31.2,8
Utah,IHSP,2020,2020,17,65+ yr,42.3,11.2
Utah,IHSP,2020,2020,18,65+ yr,55.1,12.8
